Company,ISIN,MarketValueUSD,RevenueUSD,Revenue_Value,Revenue_Currency,Revenue_UnitMultiplier,RDBudgetUSD,RDBudget_Value,RDBudget_Currency,RDBudget_UnitMultiplier,Employees,Activity,Region,MajorShareholders,Flag_OUI,Flag_NON
Acer,TW0002353000,,8542999999.999999,8.543,USD,1000000000.0,73000000.0,73.0,USD,1000000.0,,ELECTRONIQUE,,Fuh Hwa,True,False
Adobe,US00724F1012,,21510000000.0,21.51,USD,1000000000.0,3944000000.0,3.944,USD,1000000000.0,30709.0,SOFTWARE,,Vanguard,True,False
Akamai,US00971T1016,,4000000000.0,4.0,USD,1000000000.0,471000000.0,471.0,USD,1000000.0,10700.0,AI,,Vanguard,True,False
Alibaba,US01609W1027,,139068000000.0,139.068,USD,1000000000.0,8000000000.0,8.0,USD,1000000000.0,123711.0,ECOM,,Primecap Management Company,False,False
Aligned Data Centers,pas sur LSEG,,40000000000.0,40.0,USD,1000000000.0,,,,,308.0,AI,,BlackRock,False,True
Alphabet,US02079K3059 (Class A) / US02079K1079 (Class C),,350018000000.0,350.018,USD,1000000000.0,789000000000.0,789.0,USD,1000000000.0,190167.0,SOFTWARE,,Vanguard,True,False
Amazon,US0231351067,,637959000000.0,637.959,USD,1000000000.0,88540000000.0,88.54,USD,1000000000.0,1578000.0,SOFTWARE,,Jeff Bezos,True,False
AMD,US0079031078,,25785000000.0,25.785,USD,1000000000.0,6500000000.0,6.5,USD,1000000000.0,28000.0,ELECTRONIQUE,,Vanguard,True,False
Anthropic,pas coté idem,,4000000000.0,4.0,USD,1000000000.0,,,,,1035.0,AI,,Amazon,False,True
Apple,US0378331005,,416161000000.0,416.161,USD,1000000000.0,34550000000.0,34.55,USD,1000000000.0,166000.0,SOFTWARE,,Vanguard,True,False
Arm,US0420682058,,4000000000.0,4.0,USD,1000000000.0,2000000000.0,2.0,USD,1000000000.0,8330.0,ELECTRONIQUE,,SB Investement Advisers,True,False
ASML,NL0010273215,,32698000000.0,32.698,USD,1000000000.0,4979000000.0,4.979,USD,1000000000.0,44000.0,ELECTRONIQUE,,BlackRock,True,False
AT&T,US00206R1023,,122336000000.0,122.336,USD,1000000000.0,955000000.0,955.0,USD,1000000.0,135670.0,TELCO,,Vanguard,False,False
Atlassian,US0494681010,,5215000000.0,5.215,USD,1000000000.0,2700000000.0,2.7,USD,1000000000.0,13813.0,SOFTWARE,,Vanguard,True,False
Baidu,US0567521085,,18699000000.0,18.699,USD,1000000000.0,3108000000.0,3.108,USD,1000000000.0,35900.0,SOFTWARE,,Primecap Management Company,False,False
BharatGen,Idem,,,,,,,,,,,AI,,,False,True
Broadcom,US11135F1012,,51500000000.0,51.5,USD,1000000000.0,9310000000.0,9.31,USD,1000000000.0,37000.0,ELECTRONIQUE,,Vanguard,True,False
BYD,CNE100001526,,107976000000.0,107.976,USD,1000000000.0,6976000000.0,6.976,USD,1000000000.0,968872.0,AUTO,,Wang,False,False
ByteDance,Non coté,,,,,,,,,,,AI,,,False,True
Capgemini,FR0000125338,,22096000000.0,22.096,USD,1000000000.0,,,USD,,349373.0,SOFTWARE,,Crédit Agricole,False,False
Cisco,US17275R1023,,56654000000.0,56.654,USD,1000000000.0,9300000000.0,9.3,USD,1000000000.0,86200.0,SOFTWARE,,Vanguard,False,False
CoreWeave,US21873S1087,,1915000000.0,1.915,USD,1000000000.0,56000000.0,56.0,USD,1000000.0,,CLOUD,,Magnetar,False,False
CrowdStrike,US22788C1053,,3953000000.0,3.953,USD,1000000000.0,1076000000.0,1.076,USD,1000000000.0,10047.0,CLOUD,,Vanguard,True,False
Cruise,,,,,,,,,,,,SOFTWARE,,,False,True
Databricks,,,3700000000.0,3.7,USD,1000000000.0,,,USD,,10000.0,AI,,,False,True
DeepMind,,,1325000000.0,1.325,USD,1000000000.0,,,USD,,,AI,,,False,True
Deepseek,,,,,,,,,,,,AI,,Sdema,False,True
Ericsson,SE0000108656,,26011000000.0,26.011,USD,1000000000.0,5241000000.0,5.241,USD,1000000000.0,89898.0,ELECTRONIQUE,,Investor AB,False,False
Figma,US3168411052,,749000000.0,749.0,USD,1000000.0,751000000.0,751.0,USD,1000000.0,1831.0,SOFTWARE,,Index Ventures,True,False
Fortinet,US34959E1091,,5955000000.0,5.955,USD,1000000000.0,716800000.0,716.8,USD,1000000.0,14138.0,CYBERSÉCURITÉ,,Vanguard,True,False
Foxconn,KYG3R83K1037,,4441000000.0,4.441,USD,1000000000.0,289000000.0,289.0,USD,1000000.0,68970.0,ELECTRONIQUE,,Hon Hai,False,False
General Motors,US37045V1008,,187442000000.0,187.442,USD,1000000000.0,9200000000.0,9.2,USD,1000000000.0,162000.0,AUTO,,Vanguard,False,False
GitHub,,,,,,,,,,,501.0,SOFTWARE,,,False,True
Honda,JP3854600008,,141253000000.0,141.253,USD,1000000000.0,7160000000.0,7.16,USD,1000000000.0,194173.0,AUTO,,Nomura,False,False
Huawei,CN000HUAWEI0,,26010000000.0,26.01,USD,1000000000.0,2325000000.0,2.325,USD,1000000000.0,110000.0,ELECTRONIQUE,,Pas de data,False,True
Hugging Face,,,46800000.0,46.8,USD,1000000.0,,,,,223.0,AI,,,False,True
IBM,US4592001014,,62753000000.0,62.753,USD,1000000000.0,7479000000.0,7.479,USD,1000000000.0,293400.0,SOFTWARE,,Vanguard,True,False
Intel,US4581401001,,53101000000.0,53.101,USD,1000000000.0,16546000000.0,16.546,USD,1000000000.0,108900.0,ELECTRONIQUE,,Vanguard,True,False
LinkedIn,racheté par microsoft,,2990000000.0,2.99,USD,1000000000.0,775660000.0,775.66,USD,1000000.0,9372.0,AI,,,False,True
Lyft,US55087P1049,,5786000000.0,5.786,USD,1000000000.0,397070000.0,397.07,USD,1000000.0,2.0,SOFTWARE,,Vanguard,False,False
Mercedes-Benz,,,168444000000.0,168.444,USD,1000000000.0,11220000000.0,11.22,USD,1000000000.0,163132.0,AUTO,,BAIC,False,False
Meta,US30303M1027,,164501000000.0,164.501,USD,1000000000.0,43619000000.0,43.619,USD,1000000000.0,75945.0,SOFTWARE,,Vanguard,True,False
Microsoft,US5949181045,,281724000000.0,281.724,USD,1000000000.0,32488000000.0,32.488,USD,1000000000.0,228000.0,SOFTWARE,,Vanguard,True,False
Mistral AI,"pas coté, CA estimé",,100000000.0,100.0,USD,1000000.0,,,,,300.0,AI,,ASML,False,False
Netflix,US64110L1061,,39000000000.0,39.0,USD,1000000000.0,2925000000.0,2.925,USD,1000000000.0,14000.0,PLATEFORME DIVERTISSEMENT,,Vanguard,False,False
Nokia,FI0009000681,,22236000000.0,22.236,USD,1000000000.0,5401000000.0,5.401,USD,1000000000.0,80361.0,TELCO,,Solidium Oy,False,False
Nscale,pas coté,,,,,,,,,,200.0,AI,,,False,False
Nvidia,US67066G1040,,130500000000.0,130.5,USD,1000000000.0,12914000000.0,12.914,USD,1000000000.0,36000.0,ELECTRONIQUE,,Vanguard,True,False
OpenAI,"pas coté, CA estimé dans la presse. https://www.cnbc.com/2025/11/06/sam-altman-says-openai-will-top-20-billion-annual-revenue-this-year.html",,20000000000.0,20.0,USD,1000000000.0,,,,,,AI,,,False,True
Oracle,US68389X1054,,57399000000.0,57.399,USD,1000000000.0,9860000000.0,9.86,USD,1000000000.0,162000.0,CLOUD,,Ellison,True,False
Orange,FR0000133308,,46578000000.0,46.578,USD,1000000000.0,,,USD,,119270.0,TELCO,,French Government,False,False
Panasonic,JP3866800000,,55086000000.0,55.086,USD,1000000000.0,3110000000.0,3.11,USD,1000000000.0,207.0,ELECTRONIQUE,,Nomura Asset Management,True,False
Qualcomm,US7475251036,,44284000000.0,44.284,USD,1000000000.0,9042000000.0,9.042,USD,1000000000.0,52000.0,TELCO,,Vanguard,True,False
Red Hat,,,,,,,,,,,,CLOUD,,,False,True
Rivian,US76954A1034,,4970000000.0,4.97,USD,1000000000.0,1539000000.0,1.539,USD,1000000000.0,14861.0,AUTO,,Amazon,False,False
Salesforce,US79466L3024,,37900000000.0,37.9,USD,1000000000.0,5493000000.0,5.493,USD,1000000000.0,76453.0,SOFTWARE,,Vanguard,True,False
Samsung,KR7005930003 (actions ordinaires),,206243000000.0,206.243,USD,1000000000.0,24037000000.0,24.037,USD,1000000000.0,,ELECTRONIQUE,,Samsung Life Insurance,True,False
SAP,DE0007164600,,39539000000.0,39.539,USD,1000000000.0,7530000000.0,7.53,USD,1000000000.0,110730.0,SOFTWARE,,BlackRock,True,False
Scale AI,,,870000000.0,870.0,USD,1000000.0,,,,,900.0,AI,,,False,True
Slack,,,902610000.0,902.61,USD,1000000.0,382150000.0,382.15,USD,1000000.0,2545.0,SOFTWARE,,,False,True
Snowflake,US8334451098 (Bourse Francfort),,3626000000.0,3.626,USD,1000000000.0,1784000000.0,1.784,USD,1000000000.0,7834.0,CLOUD,,Vanguard,True,False
Sony,JP3435000009,,84386000000.0,84.386,USD,1000000000.0,4784000000.0,4.784,USD,1000000000.0,112.0,ELECTRONIQUE,,Nomura Asset Management,True,False
Tencent,KYG875721634,,92741000000.0,92.741,USD,1000000000.0,9928000000.0,9.928,USD,1000000000.0,111221.0,SOFTWARE,,Prosus NV,False,False
Tesla,US88160R1014 (Bourse Francfort),,97690000000.0,97.69,USD,1000000000.0,4540000000.0,4.54,USD,1000000000.0,125665.0,AUTO,,Elon Musk,True,False
Thales,FR0000121329,,23806000000.0,23.806,USD,1000000000.0,1473000000.0,1.473,USD,1000000000.0,83020.0,ELECTRONIQUE,,French Governement,False,False
Toyota,JP3633400001,,312850000000.0,312.85,USD,1000000000.0,8968000000.0,8.968,USD,1000000000.0,383853.0,AUTO,,Toyota Industries,False,False
TSMC,TW0002330008,,93419000000.0,93.419,USD,1000000000.0,6590000000.0,6.59,USD,1000000000.0,,ELECTRONIQUE,,National Developement Fund,True,False
Uber,US90353T1007 (nasdaq.com),,43978000000.0,43.978,USD,1000000000.0,3109000000.0,3.109,USD,1000000000.0,31100.0,SOFTWARE,,Vanguard,True,False
Verizon,US92343V1044,,134788000000.00002,134.788,USD,1000000000.0,,,USD,,99600.0,TELCO,,Vanguard,False,False
Vodafone Group,GB00BH4HKS39,,37448000000.0,37.448,USD,1000000000.0,,,USD,,87205.0,TELCO,,Emirates Investment Authority,False,False
Volvo,SE0000115446,,55280000000.0,55.28,USD,1000000000.0,3348000000.0,3.348,USD,1000000000.0,88191.0,AUTO,,Swedbank,False,False
Waymo,pas cotée,,,,,,,,,,,SOFTWARE,,,False,True
Spotify,LU1778762911,,15673000000.0,15.673,USD,1000000000.0,1447000000.0,1.447,USD,1000000000.0,7691.0,SOFTWARE,,Lorentzon,False,True
MediaTek,TW0002454006,,17125000000.0,17.125,USD,1000000000.0,4260000000.0,4.26,USD,1000000000.0,,ELECTRONIQUE,,Vanguard,True,False
